Country,Agro-ecological zones,Administrative areas,Agricultural practices,Crop,Scientific name,Botanical family,Other names,Additional Information,Planting period - onset,Planting period - end,Sowing / Planting rate,Sowing/Planting rate unit,Preferred sowing/planting period,Length of the cropping cycle,Harvesting period - onset,Harvesting period - end,Comments
Burkina Faso,Centre Zone (Central Plateau),"The zone covers the provinces of Kadiogo, Bazèga, Boulkiemdé, Ziro, Sapouy, Sissili, Boulgou, Koulpelgo, Nahouri, Zounwégo, Ganzourgou, Oubritenga, Sanmatenga, Kouritenga, Sanguié, and Namentenga.","Pluvial agriculture (millet, maize, sorghum, cowpeas, tubers), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as sedentary livestock comprised mainly of small ruminants and bovines. ",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: Gorom local,01/07,15/07,15-20,kg/ha,null-null,75 days,15/09,30/09,
Burkina Faso,Centre Zone (Central Plateau),"The zone covers the provinces of Kadiogo, Bazèga, Boulkiemdé, Ziro, Sapouy, Sissili, Boulgou, Koulpelgo, Nahouri, Zounwégo, Ganzourgou, Oubritenga, Sanmatenga, Kouritenga, Sanguié, and Namentenga.","Pluvial agriculture (millet, maize, sorghum, cowpeas, tubers), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as sedentary livestock comprised mainly of small ruminants and bovines. ",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KN-1,01/07,15/07,15-20,kg/ha,null-null,70 days,10/09,25/09,
Burkina Faso,Centre Zone (Central Plateau),"The zone covers the provinces of Kadiogo, Bazèga, Boulkiemdé, Ziro, Sapouy, Sissili, Boulgou, Koulpelgo, Nahouri, Zounwégo, Ganzourgou, Oubritenga, Sanmatenga, Kouritenga, Sanguié, and Namentenga.","Pluvial agriculture (millet, maize, sorghum, cowpeas, tubers), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as sedentary livestock comprised mainly of small ruminants and bovines. ",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 396-4-4,01/07,31/07,15-20,kg/ha,null-null,70 days,10/09,10/10,
Burkina Faso,Centre Zone (Central Plateau),"The zone covers the provinces of Kadiogo, Bazèga, Boulkiemdé, Ziro, Sapouy, Sissili, Boulgou, Koulpelgo, Nahouri, Zounwégo, Ganzourgou, Oubritenga, Sanmatenga, Kouritenga, Sanguié, and Namentenga.","Pluvial agriculture (millet, maize, sorghum, cowpeas, tubers), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as sedentary livestock comprised mainly of small ruminants and bovines. ",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 396-4-5-2D,01/07,31/07,15-20,kg/ha,null-null,70 days,10/09,10/10,
Burkina Faso,Centre Zone (Central Plateau),"The zone covers the provinces of Kadiogo, Bazèga, Boulkiemdé, Ziro, Sapouy, Sissili, Boulgou, Koulpelgo, Nahouri, Zounwégo, Ganzourgou, Oubritenga, Sanmatenga, Kouritenga, Sanguié, and Namentenga.","Pluvial agriculture (millet, maize, sorghum, cowpeas, tubers), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as sedentary livestock comprised mainly of small ruminants and bovines. ",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 414-22-2,01/07,15/07,15-20,kg/ha,null-null,65-70 days,10/09,25/09,
Burkina Faso,Centre Zone (Central Plateau),"The zone covers the provinces of Kadiogo, Bazèga, Boulkiemdé, Ziro, Sapouy, Sissili, Boulgou, Koulpelgo, Nahouri, Zounwégo, Ganzourgou, Oubritenga, Sanmatenga, Kouritenga, Sanguié, and Namentenga.","Pluvial agriculture (millet, maize, sorghum, cowpeas, tubers), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as sedentary livestock comprised mainly of small ruminants and bovines. ",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 414-22-72,01/07,15/07,15-20,kg/ha,null-null,70 days,10/09,25/09,
Burkina Faso,Centre Zone (Central Plateau),"The zone covers the provinces of Kadiogo, Bazèga, Boulkiemdé, Ziro, Sapouy, Sissili, Boulgou, Koulpelgo, Nahouri, Zounwégo, Ganzourgou, Oubritenga, Sanmatenga, Kouritenga, Sanguié, and Namentenga.","Pluvial agriculture (millet, maize, sorghum, cowpeas, tubers), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as sedentary livestock comprised mainly of small ruminants and bovines. ",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 61-1,01/07,31/07,15-20,kg/ha,null-null,70 days,10/09,10/10,
Burkina Faso,Centre Zone (Central Plateau),"The zone covers the provinces of Kadiogo, Bazèga, Boulkiemdé, Ziro, Sapouy, Sissili, Boulgou, Koulpelgo, Nahouri, Zounwégo, Ganzourgou, Oubritenga, Sanmatenga, Kouritenga, Sanguié, and Namentenga.","Pluvial agriculture (millet, maize, sorghum, cowpeas, tubers), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as sedentary livestock comprised mainly of small ruminants and bovines. ",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KVX 745-11P,01/07,31/07,15-20,kg/ha,null-null,70 days,10/09,10/10,
Burkina Faso,East Zone,"The zone covers the provinces of Gourman, Gnagnan, Tapoa, Kompienga and Komandjari.","Extensive rainfed agriculture (millet, maize, sorghum, groundnut, cowpea, cotton...) and irrigated agriculture (rice, vegetables) and extensive livestock rearing (bovine, small ruminant and poultry).",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: Gorom local,01/07,15/07,15-20,kg/ha,null-null,75 days,15/09,30/09,
Burkina Faso,East Zone,"The zone covers the provinces of Gourman, Gnagnan, Tapoa, Kompienga and Komandjari.","Extensive rainfed agriculture (millet, maize, sorghum, groundnut, cowpea, cotton...) and irrigated agriculture (rice, vegetables) and extensive livestock rearing (bovine, small ruminant and poultry).",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,Variety: KN-1,01/07,15/07,15-20,kg/ha,null-null,70 days,10/09,25/09,
